i01	V(vhd)
-4.429999999999986e-004	6.099857e-001
-4.419999999999986e-004	6.099873e-001
-4.409999999999986e-004	6.099887e-001
-4.399999999999986e-004	6.099903e-001
-4.389999999999985e-004	6.099918e-001
-4.379999999999985e-004	6.099934e-001
-4.369999999999985e-004	6.099949e-001
-4.359999999999985e-004	6.099964e-001
-4.349999999999984e-004	6.099980e-001
-4.339999999999984e-004	6.099995e-001
-4.329999999999984e-004	6.100011e-001
-4.319999999999984e-004	6.100026e-001
-4.309999999999983e-004	6.100041e-001
-4.299999999999983e-004	6.100057e-001
-4.289999999999983e-004	6.100072e-001
-4.279999999999983e-004	6.100087e-001
-4.269999999999982e-004	6.100103e-001
-4.259999999999982e-004	6.100118e-001
-4.249999999999982e-004	6.100134e-001
-4.239999999999982e-004	6.100149e-001
-4.229999999999981e-004	6.100164e-001
-4.219999999999981e-004	6.100180e-001
-4.209999999999981e-004	6.100194e-001
-4.199999999999981e-004	6.100210e-001
-4.189999999999980e-004	6.100225e-001
-4.179999999999980e-004	6.100241e-001
-4.169999999999980e-004	6.100256e-001
-4.159999999999980e-004	6.100271e-001
-4.149999999999979e-004	6.100287e-001
-4.139999999999979e-004	6.100302e-001
-4.129999999999979e-004	6.100317e-001
-4.119999999999979e-004	6.100333e-001
-4.109999999999979e-004	6.100348e-001
-4.099999999999978e-004	6.100363e-001
-4.089999999999978e-004	6.100379e-001
-4.079999999999978e-004	6.100394e-001
-4.069999999999978e-004	6.100410e-001
-4.059999999999977e-004	6.100425e-001
-4.049999999999977e-004	6.100440e-001
-4.039999999999977e-004	6.100456e-001
-4.029999999999977e-004	6.100470e-001
-4.019999999999976e-004	6.100486e-001
-4.009999999999976e-004	6.100501e-001
-3.999999999999976e-004	6.100517e-001
-3.989999999999976e-004	6.100532e-001
-3.979999999999975e-004	6.100547e-001
-3.969999999999975e-004	6.100563e-001
-3.959999999999975e-004	6.100578e-001
-3.949999999999975e-004	6.100593e-001
-3.939999999999974e-004	6.100609e-001
-3.929999999999974e-004	6.100624e-001
-3.919999999999974e-004	6.100639e-001
-3.909999999999974e-004	6.100655e-001
-3.899999999999973e-004	6.100670e-001
-3.889999999999973e-004	6.100685e-001
-3.879999999999973e-004	6.100700e-001
-3.869999999999973e-004	6.100715e-001
-3.859999999999972e-004	6.100731e-001
-3.849999999999972e-004	6.100746e-001
-3.839999999999972e-004	6.100761e-001
-3.829999999999972e-004	6.100777e-001
-3.819999999999971e-004	6.100792e-001
-3.809999999999971e-004	6.100807e-001
-3.799999999999971e-004	6.100822e-001
-3.789999999999971e-004	6.100838e-001
-3.779999999999970e-004	6.100852e-001
-3.769999999999970e-004	6.100868e-001
-3.759999999999970e-004	6.100883e-001
-3.749999999999970e-004	6.100898e-001
-3.739999999999970e-004	6.100913e-001
-3.729999999999969e-004	6.100929e-001
-3.719999999999969e-004	6.100944e-001
-3.709999999999969e-004	6.100959e-001
