i1	V(vo)
-4.439999999999987e-004	2.447752e+000
-4.429999999999986e-004	2.447814e+000
-4.419999999999986e-004	2.447877e+000
-4.409999999999986e-004	2.447940e+000
-4.399999999999986e-004	2.448002e+000
-4.389999999999985e-004	2.448065e+000
-4.379999999999985e-004	2.448127e+000
-4.369999999999985e-004	2.448189e+000
-4.359999999999985e-004	2.448252e+000
-4.349999999999984e-004	2.448314e+000
-4.339999999999984e-004	2.448377e+000
-4.329999999999984e-004	2.448439e+000
-4.319999999999984e-004	2.448502e+000
-4.309999999999983e-004	2.448564e+000
-4.299999999999983e-004	2.448627e+000
-4.289999999999983e-004	2.448689e+000
-4.279999999999983e-004	2.448752e+000
-4.269999999999982e-004	2.448814e+000
-4.259999999999982e-004	2.448877e+000
-4.249999999999982e-004	2.448939e+000
-4.239999999999982e-004	2.449001e+000
-4.229999999999981e-004	2.449064e+000
-4.219999999999981e-004	2.449126e+000
-4.209999999999981e-004	2.449189e+000
-4.199999999999981e-004	2.449251e+000
-4.189999999999980e-004	2.449314e+000
-4.179999999999980e-004	2.449376e+000
-4.169999999999980e-004	2.449438e+000
-4.159999999999980e-004	2.449501e+000
-4.149999999999979e-004	2.449563e+000
-4.139999999999979e-004	2.449625e+000
-4.129999999999979e-004	2.449688e+000
-4.119999999999979e-004	2.449750e+000
-4.109999999999979e-004	2.449813e+000
-4.099999999999978e-004	2.449875e+000
-4.089999999999978e-004	2.449937e+000
-4.079999999999978e-004	2.450000e+000
-4.069999999999978e-004	2.450062e+000
-4.059999999999977e-004	2.450125e+000
-4.049999999999977e-004	2.450187e+000
-4.039999999999977e-004	2.450249e+000
-4.029999999999977e-004	2.450311e+000
-4.019999999999976e-004	2.450374e+000
-4.009999999999976e-004	2.450436e+000
-3.999999999999976e-004	2.450498e+000
-3.989999999999976e-004	2.450560e+000
-3.979999999999975e-004	2.450622e+000
-3.969999999999975e-004	2.450685e+000
-3.959999999999975e-004	2.450747e+000
-3.949999999999975e-004	2.450809e+000
-3.939999999999974e-004	2.450871e+000
-3.929999999999974e-004	2.450933e+000
-3.919999999999974e-004	2.450995e+000
-3.909999999999974e-004	2.451057e+000
-3.899999999999973e-004	2.451119e+000
-3.889999999999973e-004	2.451181e+000
-3.879999999999973e-004	2.451243e+000
-3.869999999999973e-004	2.451305e+000
-3.859999999999972e-004	2.451366e+000
-3.849999999999972e-004	2.451428e+000
-3.839999999999972e-004	2.451490e+000
-3.829999999999972e-004	2.451551e+000
-3.819999999999971e-004	2.451613e+000
-3.809999999999971e-004	2.451674e+000
-3.799999999999971e-004	2.451736e+000
-3.789999999999971e-004	2.451797e+000
-3.779999999999970e-004	2.451859e+000
-3.769999999999970e-004	2.451920e+000
-3.759999999999970e-004	2.451981e+000
-3.749999999999970e-004	2.452042e+000
-3.739999999999970e-004	2.452103e+000
-3.729999999999969e-004	2.452163e+000
-3.719999999999969e-004	2.452224e+000
-3.709999999999969e-004	2.452284e+000
-3.699999999999969e-004	2.452345e+000
-3.689999999999968e-004	2.452405e+000
-3.679999999999968e-004	2.452465e+000
-3.669999999999968e-004	2.452525e+000
-3.659999999999968e-004	2.452584e+000
-3.649999999999967e-004	2.452644e+000
-3.639999999999967e-004	2.452703e+000
-3.629999999999967e-004	2.452762e+000
-3.619999999999967e-004	2.452821e+000
-3.609999999999966e-004	2.452879e+000
-3.599999999999966e-004	2.452937e+000
-3.589999999999966e-004	2.452995e+000
-3.579999999999966e-004	2.453052e+000
-3.569999999999965e-004	2.453109e+000
-3.559999999999965e-004	2.453166e+000
-3.549999999999965e-004	2.453222e+000
-3.539999999999965e-004	2.453278e+000
-3.529999999999964e-004	2.453333e+000
-3.519999999999964e-004	2.453388e+000
-3.509999999999964e-004	2.453442e+000
-3.499999999999964e-004	2.453495e+000
-3.489999999999963e-004	2.453548e+000
-3.479999999999963e-004	2.453600e+000
-3.469999999999963e-004	2.453651e+000
-3.459999999999963e-004	2.453701e+000
-3.449999999999962e-004	2.453751e+000
-3.439999999999962e-004	2.453799e+000
-3.429999999999962e-004	2.453846e+000
-3.419999999999962e-004	2.453892e+000
-3.409999999999962e-004	2.453936e+000
-3.399999999999961e-004	2.453979e+000
-3.389999999999961e-004	2.454021e+000
-3.379999999999961e-004	2.454061e+000
-3.369999999999961e-004	2.454098e+000
-3.359999999999960e-004	2.454134e+000
-3.349999999999960e-004	2.454167e+000
-3.339999999999960e-004	2.454198e+000
-3.329999999999960e-004	2.454226e+000
-3.319999999999959e-004	2.454252e+000
-3.309999999999959e-004	2.454273e+000
-3.299999999999959e-004	2.454291e+000
-3.289999999999959e-004	2.454305e+000
-3.279999999999958e-004	2.454314e+000
-3.269999999999958e-004	2.454319e+000
-3.259999999999958e-004	2.454317e+000
-3.249999999999958e-004	2.454309e+000
-3.239999999999957e-004	2.454295e+000
-3.229999999999957e-004	2.454272e+000
-3.219999999999957e-004	2.454244e+000
-3.209999999999957e-004	2.454216e+000
-3.199999999999956e-004	2.454185e+000
-3.189999999999956e-004	2.454151e+000
-3.179999999999956e-004	2.454113e+000
-3.169999999999956e-004	2.454073e+000
-3.159999999999955e-004	2.454030e+000
-3.149999999999955e-004	2.453983e+000
-3.139999999999955e-004	2.453933e+000
-3.129999999999955e-004	2.453880e+000
-3.119999999999954e-004	2.453823e+000
-3.109999999999954e-004	2.453762e+000
-3.099999999999954e-004	2.453698e+000
-3.089999999999954e-004	2.453629e+000
-3.079999999999953e-004	2.453557e+000
-3.069999999999953e-004	2.453480e+000
-3.059999999999953e-004	2.453400e+000
-3.049999999999953e-004	2.453315e+000
-3.039999999999953e-004	2.453226e+000
-3.029999999999952e-004	2.453132e+000
-3.019999999999952e-004	2.453033e+000
-3.009999999999952e-004	2.452930e+000
-2.999999999999952e-004	2.452821e+000
-2.989999999999951e-004	2.452708e+000
-2.979999999999951e-004	2.452589e+000
-2.969999999999951e-004	2.452465e+000
-2.959999999999951e-004	2.452336e+000
-2.949999999999950e-004	2.452201e+000
-2.939999999999950e-004	2.452060e+000
-2.929999999999950e-004	2.451913e+000
-2.919999999999950e-004	2.451761e+000
-2.909999999999949e-004	2.451602e+000
-2.899999999999949e-004	2.451437e+000
-2.889999999999949e-004	2.451265e+000
-2.879999999999949e-004	2.451086e+000
-2.869999999999948e-004	2.450901e+000
-2.859999999999948e-004	2.450708e+000
-2.849999999999948e-004	2.450509e+000
-2.839999999999948e-004	2.450302e+000
-2.829999999999947e-004	2.450088e+000
