vs	V(vo)
-1.480000000000000e+000	-9.688909e-001
-1.478000000000000e+000	-9.688160e-001
-1.476000000000000e+000	-9.687410e-001
-1.474000000000000e+000	-9.686660e-001
-1.472000000000000e+000	-9.685909e-001
-1.470000000000000e+000	-9.685156e-001
-1.468000000000000e+000	-9.684404e-001
-1.466000000000000e+000	-9.683651e-001
-1.464000000000000e+000	-9.682897e-001
-1.462000000000000e+000	-9.682143e-001
-1.460000000000000e+000	-9.681388e-001
-1.458000000000000e+000	-9.680632e-001
-1.456000000000000e+000	-9.679876e-001
-1.454000000000000e+000	-9.679119e-001
-1.452000000000000e+000	-9.678361e-001
-1.450000000000000e+000	-9.677603e-001
-1.448000000000000e+000	-9.676843e-001
-1.446000000000000e+000	-9.676084e-001
-1.444000000000000e+000	-9.675323e-001
-1.442000000000000e+000	-9.674562e-001
-1.440000000000000e+000	-9.673800e-001
-1.438000000000000e+000	-9.673038e-001
-1.436000000000000e+000	-9.672274e-001
-1.434000000000000e+000	-9.671510e-001
-1.432000000000000e+000	-9.670745e-001
-1.430000000000000e+000	-9.669979e-001
-1.428000000000000e+000	-9.669213e-001
-1.426000000000000e+000	-9.668446e-001
-1.424000000000000e+000	-9.667678e-001
-1.422000000000000e+000	-9.666909e-001
-1.420000000000000e+000	-9.666139e-001
-1.418000000000000e+000	-9.665369e-001
-1.416000000000000e+000	-9.664599e-001
-1.414000000000000e+000	-9.663827e-001
-1.412000000000000e+000	-9.663054e-001
-1.410000000000000e+000	-9.662281e-001
-1.408000000000000e+000	-9.661506e-001
-1.406000000000000e+000	-9.660732e-001
-1.404000000000000e+000	-9.659956e-001
-1.402000000000000e+000	-9.659179e-001
-1.400000000000000e+000	-9.658401e-001
-1.398000000000000e+000	-9.657623e-001
-1.396000000000000e+000	-9.656844e-001
-1.394000000000000e+000	-9.656063e-001
-1.392000000000000e+000	-9.655282e-001
-1.390000000000000e+000	-9.654500e-001
-1.388000000000000e+000	-9.653717e-001
-1.386000000000000e+000	-9.652933e-001
-1.384000000000000e+000	-9.652149e-001
-1.382000000000000e+000	-9.651363e-001
-1.379999999999999e+000	-9.650577e-001
-1.377999999999999e+000	-9.649789e-001
-1.375999999999999e+000	-9.649001e-001
-1.373999999999999e+000	-9.648212e-001
-1.371999999999999e+000	-9.647422e-001
-1.369999999999999e+000	-9.646630e-001
-1.367999999999999e+000	-9.645838e-001
-1.365999999999999e+000	-9.645045e-001
-1.363999999999999e+000	-9.644251e-001
-1.361999999999999e+000	-9.643456e-001
-1.359999999999999e+000	-9.642659e-001
-1.357999999999999e+000	-9.641862e-001
-1.355999999999999e+000	-9.641064e-001
-1.353999999999999e+000	-9.640265e-001
-1.351999999999999e+000	-9.639464e-001
-1.349999999999999e+000	-9.638663e-001
-1.347999999999999e+000	-9.637860e-001
-1.345999999999999e+000	-9.637057e-001
-1.343999999999999e+000	-9.636252e-001
-1.341999999999999e+000	-9.635446e-001
-1.339999999999999e+000	-9.634639e-001
-1.337999999999999e+000	-9.633831e-001
-1.335999999999999e+000	-9.633022e-001
-1.333999999999999e+000	-9.632212e-001
-1.331999999999999e+000	-9.631400e-001
-1.329999999999999e+000	-9.630588e-001
-1.327999999999999e+000	-9.629773e-001
-1.325999999999999e+000	-9.628959e-001
-1.323999999999999e+000	-9.628142e-001
-1.321999999999999e+000	-9.627325e-001
-1.319999999999999e+000	-9.626506e-001
-1.317999999999999e+000	-9.625686e-001
-1.315999999999999e+000	-9.624864e-001
-1.313999999999999e+000	-9.624042e-001
-1.311999999999999e+000	-9.623218e-001
-1.309999999999999e+000	-9.622393e-001
-1.307999999999999e+000	-9.621567e-001
-1.305999999999999e+000	-9.620739e-001
-1.303999999999999e+000	-9.619910e-001
-1.301999999999999e+000	-9.619079e-001
-1.299999999999999e+000	-9.618247e-001
-1.297999999999999e+000	-9.617414e-001
-1.295999999999999e+000	-9.616579e-001
-1.293999999999999e+000	-9.615743e-001
-1.291999999999999e+000	-9.614906e-001
-1.289999999999999e+000	-9.614066e-001
-1.287999999999999e+000	-9.613226e-001
-1.285999999999999e+000	-9.612384e-001
-1.283999999999999e+000	-9.611540e-001
-1.281999999999999e+000	-9.610696e-001
-1.279999999999999e+000	-9.609849e-001
-1.277999999999999e+000	-9.609001e-001
-1.275999999999999e+000	-9.608151e-001
-1.273999999999999e+000	-9.607300e-001
-1.271999999999999e+000	-9.606447e-001
-1.269999999999999e+000	-9.605592e-001
-1.267999999999999e+000	-9.604736e-001
-1.265999999999999e+000	-9.603878e-001
-1.263999999999999e+000	-9.603018e-001
-1.261999999999999e+000	-9.602157e-001
-1.259999999999999e+000	-9.601294e-001
-1.257999999999999e+000	-9.600429e-001
-1.255999999999999e+000	-9.599562e-001
-1.253999999999999e+000	-9.598694e-001
-1.251999999999999e+000	-9.597824e-001
-1.249999999999999e+000	-9.596952e-001
-1.247999999999999e+000	-9.596077e-001
-1.245999999999999e+000	-9.595202e-001
-1.243999999999999e+000	-9.594324e-001
-1.241999999999999e+000	-9.593444e-001
-1.239999999999999e+000	-9.592562e-001
-1.237999999999999e+000	-9.591678e-001
-1.235999999999999e+000	-9.590792e-001
-1.233999999999999e+000	-9.589905e-001
-1.231999999999999e+000	-9.589014e-001
-1.229999999999999e+000	-9.588122e-001
-1.227999999999999e+000	-9.587228e-001
-1.225999999999999e+000	-9.586331e-001
-1.223999999999999e+000	-9.585433e-001
-1.221999999999999e+000	-9.584532e-001
-1.219999999999999e+000	-9.583629e-001
-1.217999999999999e+000	-9.582723e-001
-1.215999999999999e+000	-9.581816e-001
-1.213999999999999e+000	-9.580905e-001
-1.211999999999999e+000	-9.579993e-001
-1.209999999999999e+000	-9.579077e-001
-1.207999999999999e+000	-9.578160e-001
-1.205999999999999e+000	-9.577240e-001
-1.203999999999999e+000	-9.576318e-001
-1.201999999999999e+000	-9.575392e-001
-1.199999999999999e+000	-9.574465e-001
-1.197999999999999e+000	-9.573534e-001
-1.195999999999999e+000	-9.572601e-001
-1.193999999999999e+000	-9.571665e-001
-1.191999999999999e+000	-9.570726e-001
-1.189999999999999e+000	-9.569784e-001
-1.187999999999999e+000	-9.568840e-001
-1.185999999999999e+000	-9.567893e-001
-1.183999999999999e+000	-9.566942e-001
-1.181999999999999e+000	-9.565989e-001
-1.179999999999999e+000	-9.565032e-001
-1.177999999999999e+000	-9.564072e-001
-1.175999999999999e+000	-9.563110e-001
-1.173999999999999e+000	-9.562144e-001
-1.171999999999999e+000	-9.561175e-001
-1.169999999999999e+000	-9.560202e-001
-1.167999999999999e+000	-9.559225e-001
-1.165999999999999e+000	-9.558246e-001
-1.163999999999999e+000	-9.557263e-001
-1.161999999999999e+000	-9.556276e-001
-1.159999999999999e+000	-9.555286e-001
-1.157999999999999e+000	-9.554291e-001
-1.155999999999999e+000	-9.553294e-001
-1.153999999999999e+000	-9.552292e-001
-1.151999999999999e+000	-9.551286e-001
-1.149999999999999e+000	-9.550277e-001
-1.147999999999999e+000	-9.549263e-001
-1.145999999999999e+000	-9.548245e-001
-1.143999999999999e+000	-9.547223e-001
-1.141999999999999e+000	-9.546196e-001
-1.139999999999999e+000	-9.545165e-001
-1.137999999999999e+000	-9.544130e-001
-1.135999999999999e+000	-9.543090e-001
-1.133999999999999e+000	-9.542046e-001
-1.131999999999999e+000	-9.540996e-001
-1.129999999999999e+000	-9.539942e-001
-1.127999999999999e+000	-9.538883e-001
-1.125999999999999e+000	-9.537818e-001
-1.123999999999999e+000	-9.536749e-001
-1.121999999999999e+000	-9.535674e-001
-1.119999999999999e+000	-9.534594e-001
-1.117999999999999e+000	-9.533508e-001
-1.115999999999999e+000	-9.532416e-001
-1.113999999999999e+000	-9.531320e-001
-1.111999999999999e+000	-9.530216e-001
-1.109999999999999e+000	-9.529107e-001
-1.107999999999999e+000	-9.527992e-001
-1.105999999999999e+000	-9.526870e-001
-1.103999999999999e+000	-9.525743e-001
-1.101999999999999e+000	-9.524608e-001
-1.099999999999999e+000	-9.523466e-001
-1.097999999999999e+000	-9.522318e-001
-1.095999999999999e+000	-9.521162e-001
-1.093999999999999e+000	-9.519998e-001
-1.091999999999999e+000	-9.518828e-001
-1.089999999999999e+000	-9.517650e-001
-1.087999999999999e+000	-9.516464e-001
-1.085999999999999e+000	-9.515269e-001
-1.083999999999999e+000	-9.514067e-001
-1.081999999999999e+000	-9.512856e-001
-1.079999999999999e+000	-9.511636e-001
-1.077999999999999e+000	-9.510407e-001
-1.075999999999999e+000	-9.509169e-001
-1.073999999999999e+000	-9.507921e-001
-1.071999999999999e+000	-9.506664e-001
-1.069999999999999e+000	-9.505396e-001
-1.067999999999999e+000	-9.504117e-001
-1.065999999999999e+000	-9.502829e-001
-1.063999999999999e+000	-9.501529e-001
-1.061999999999999e+000	-9.500217e-001
-1.059999999999999e+000	-9.498894e-001
-1.057999999999999e+000	-9.497558e-001
-1.055999999999999e+000	-9.496211e-001
-1.053999999999999e+000	-9.494850e-001
-1.051999999999999e+000	-9.493476e-001
-1.049999999999999e+000	-9.492087e-001
-1.047999999999999e+000	-9.490685e-001
-1.045999999999999e+000	-9.489267e-001
-1.043999999999999e+000	-9.487835e-001
-1.041999999999999e+000	-9.486386e-001
-1.039999999999999e+000	-9.484921e-001
-1.037999999999999e+000	-9.483438e-001
-1.035999999999999e+000	-9.481937e-001
-1.033999999999999e+000	-9.480418e-001
-1.031999999999999e+000	-9.478880e-001
-1.029999999999999e+000	-9.477321e-001
-1.027999999999999e+000	-9.475741e-001
-1.025999999999999e+000	-9.474140e-001
-1.023999999999999e+000	-9.472516e-001
-1.021999999999999e+000	-9.470868e-001
-1.019999999999999e+000	-9.469195e-001
-1.017999999999999e+000	-9.467496e-001
-1.015999999999999e+000	-9.465770e-001
-1.013999999999999e+000	-9.464015e-001
-1.011999999999999e+000	-9.462230e-001
-1.009999999999999e+000	-9.460413e-001
-1.007999999999999e+000	-9.458564e-001
-1.005999999999999e+000	-9.456679e-001
-1.003999999999999e+000	-9.454758e-001
-1.001999999999999e+000	-9.452797e-001
-9.999999999999991e-001	-9.450795e-001
-9.979999999999991e-001	-9.448749e-001
-9.959999999999991e-001	-9.446657e-001
-9.939999999999991e-001	-9.444516e-001
-9.919999999999991e-001	-9.442323e-001
-9.899999999999991e-001	-9.440074e-001
-9.879999999999991e-001	-9.437765e-001
-9.859999999999991e-001	-9.435392e-001
-9.839999999999991e-001	-9.432951e-001
-9.819999999999991e-001	-9.430436e-001
-9.799999999999991e-001	-9.427842e-001
-9.779999999999991e-001	-9.425162e-001
-9.759999999999991e-001	-9.422389e-001
-9.739999999999991e-001	-9.419516e-001
-9.719999999999991e-001	-9.416533e-001
-9.699999999999991e-001	-9.413429e-001
-9.679999999999991e-001	-9.410194e-001
-9.659999999999991e-001	-9.406813e-001
-9.639999999999991e-001	-9.403273e-001
-9.619999999999991e-001	-9.399555e-001
-9.599999999999991e-001	-9.395639e-001
-9.579999999999991e-001	-9.391501e-001
-9.559999999999991e-001	-9.387114e-001
-9.539999999999991e-001	-9.382446e-001
